2025-12-20 08:51:12 | INFO     | sam_audio.model.base | Loading facebook/sam-audio-small (cache_dir=None, local_files_only=False, force_download=False, revision=None)
2025-12-20 08:51:12 | INFO     | sam_audio.model.base | Downloading snapshot for facebook/sam-audio-small...
2025-12-20 08:51:12 | INFO     | sam_audio.model.base | Downloading snapshot for facebook/sam-audio-small completed (0.07s)
2025-12-20 08:51:12 | INFO     | sam_audio.model.base | Snapshot ready at /home/admin-grant-jr/.cache/huggingface/hub/models--facebook--sam-audio-small/snapshots/89131effa9d9f07d0e7724bc6f4e2774c92d9397
2025-12-20 08:51:12 | INFO     | sam_audio.model.base | Reading config.json from /home/admin-grant-jr/.cache/huggingface/hub/models--facebook--sam-audio-small/snapshots/89131effa9d9f07d0e7724bc6f4e2774c92d9397
2025-12-20 08:51:12 | INFO     | sam_audio.model.base | Instantiating model modules for facebook/sam-audio-small
2025-12-20 08:51:20 | INFO     | sam_audio.model.base | Loading checkpoint from /home/admin-grant-jr/.cache/huggingface/hub/models--facebook--sam-audio-small/snapshots/89131effa9d9f07d0e7724bc6f4e2774c92d9397/checkpoint.pt (4864.3 MB)
2025-12-20 08:51:27 | INFO     | sam_audio.model.base | Checkpoint loaded (6.9s)
2025-12-20 08:51:27 | INFO     | sam_audio.model.base | Applying state dict (strict=True)
2025-12-20 08:51:27 | INFO     | sam_audio.model.base | State dict applied (0.0s)
2025-12-20 08:51:27 | INFO     | sam_audio.processor | Downloading config.json for facebook/sam-audio-small (revision=None)
2025-12-20 08:51:27 | INFO     | sam_audio.processor | config.json downloaded for facebook/sam-audio-small to /home/admin-grant-jr/.cache/huggingface/hub/models--facebook--sam-audio-small/snapshots/89131effa9d9f07d0e7724bc6f4e2774c92d9397/config.json (0.1s)
2025-12-20 08:51:27 | INFO     | sam_audio.processor | Reading config.json from /home/admin-grant-jr/.cache/huggingface/hub/models--facebook--sam-audio-small/snapshots/89131effa9d9f07d0e7724bc6f4e2774c92d9397/config.json
2025-12-20 08:56:06 | INFO     | sam_audio.model.base | Loading facebook/sam-audio-judge (cache_dir=None, local_files_only=False, force_download=False, revision=sam_audio)
2025-12-20 08:56:06 | INFO     | sam_audio.model.base | Downloading snapshot for facebook/sam-audio-judge...
2025-12-20 08:56:06 | INFO     | sam_audio.model.base | Downloading snapshot for facebook/sam-audio-judge completed (0.17s)
2025-12-20 08:56:06 | INFO     | sam_audio.model.base | Snapshot ready at /home/admin-grant-jr/.cache/huggingface/hub/models--facebook--sam-audio-judge/snapshots/ed54c31a70ea3ed88ed8a01d60107e71f7c47704
2025-12-20 08:56:06 | INFO     | sam_audio.model.base | Reading config.json from /home/admin-grant-jr/.cache/huggingface/hub/models--facebook--sam-audio-judge/snapshots/ed54c31a70ea3ed88ed8a01d60107e71f7c47704
2025-12-20 08:56:06 | INFO     | sam_audio.model.base | Instantiating model modules for facebook/sam-audio-judge
2025-12-20 08:57:01 | INFO     | sam_audio.model.base | Loading checkpoint from /home/admin-grant-jr/.cache/huggingface/hub/models--facebook--sam-audio-judge/snapshots/ed54c31a70ea3ed88ed8a01d60107e71f7c47704/checkpoint.pt (5851.2 MB)
2025-12-20 08:57:40 | INFO     | sam_audio.model.base | Checkpoint loaded (40.1s)
2025-12-20 08:57:40 | INFO     | sam_audio.model.base | Applying state dict (strict=True)
2025-12-20 08:57:40 | INFO     | sam_audio.model.base | State dict applied (0.2s)
2025-12-20 08:57:40 | INFO     | sam_audio.processor | Downloading config.json for facebook/sam-audio-judge (revision=sam_audio)
2025-12-20 08:57:40 | INFO     | sam_audio.processor | config.json downloaded for facebook/sam-audio-judge to /home/admin-grant-jr/.cache/huggingface/hub/models--facebook--sam-audio-judge/snapshots/ed54c31a70ea3ed88ed8a01d60107e71f7c47704/config.json (0.3s)
2025-12-20 08:57:40 | INFO     | sam_audio.processor | Reading config.json from /home/admin-grant-jr/.cache/huggingface/hub/models--facebook--sam-audio-judge/snapshots/ed54c31a70ea3ed88ed8a01d60107e71f7c47704/config.json
2025-12-20 09:05:42 | INFO     | sam_audio.model.base | Loading facebook/sam-audio-small (cache_dir=None, local_files_only=False, force_download=False, revision=None)
2025-12-20 09:05:42 | INFO     | sam_audio.model.base | Downloading snapshot for facebook/sam-audio-small...
2025-12-20 09:05:42 | INFO     | sam_audio.model.base | Downloading snapshot for facebook/sam-audio-small completed (0.07s)
2025-12-20 09:05:42 | INFO     | sam_audio.model.base | Snapshot ready at /home/admin-grant-jr/.cache/huggingface/hub/models--facebook--sam-audio-small/snapshots/89131effa9d9f07d0e7724bc6f4e2774c92d9397
2025-12-20 09:05:42 | INFO     | sam_audio.model.base | Reading config.json from /home/admin-grant-jr/.cache/huggingface/hub/models--facebook--sam-audio-small/snapshots/89131effa9d9f07d0e7724bc6f4e2774c92d9397
2025-12-20 09:05:42 | INFO     | sam_audio.model.base | Instantiating model modules for facebook/sam-audio-small
2025-12-20 09:05:49 | INFO     | sam_audio.model.base | Loading checkpoint from /home/admin-grant-jr/.cache/huggingface/hub/models--facebook--sam-audio-small/snapshots/89131effa9d9f07d0e7724bc6f4e2774c92d9397/checkpoint.pt (4864.3 MB)
2025-12-20 09:06:14 | INFO     | sam_audio.model.base | Checkpoint loaded (25.3s)
2025-12-20 09:06:14 | INFO     | sam_audio.model.base | Applying state dict (strict=True)
2025-12-20 09:06:14 | INFO     | sam_audio.model.base | State dict applied (0.0s)
2025-12-20 09:06:14 | INFO     | sam_audio.processor | Downloading config.json for facebook/sam-audio-small (revision=None)
2025-12-20 09:06:14 | INFO     | sam_audio.processor | config.json downloaded for facebook/sam-audio-small to /home/admin-grant-jr/.cache/huggingface/hub/models--facebook--sam-audio-small/snapshots/89131effa9d9f07d0e7724bc6f4e2774c92d9397/config.json (0.1s)
2025-12-20 09:06:14 | INFO     | sam_audio.processor | Reading config.json from /home/admin-grant-jr/.cache/huggingface/hub/models--facebook--sam-audio-small/snapshots/89131effa9d9f07d0e7724bc6f4e2774c92d9397/config.json
2025-12-20 09:10:26 | INFO     | sam_audio.model.base | Loading facebook/sam-audio-judge (cache_dir=None, local_files_only=False, force_download=False, revision=sam_audio)
2025-12-20 09:10:26 | INFO     | sam_audio.model.base | Downloading snapshot for facebook/sam-audio-judge...
2025-12-20 09:10:26 | INFO     | sam_audio.model.base | Downloading snapshot for facebook/sam-audio-judge completed (0.08s)
2025-12-20 09:10:26 | INFO     | sam_audio.model.base | Snapshot ready at /home/admin-grant-jr/.cache/huggingface/hub/models--facebook--sam-audio-judge/snapshots/ed54c31a70ea3ed88ed8a01d60107e71f7c47704
2025-12-20 09:10:26 | INFO     | sam_audio.model.base | Reading config.json from /home/admin-grant-jr/.cache/huggingface/hub/models--facebook--sam-audio-judge/snapshots/ed54c31a70ea3ed88ed8a01d60107e71f7c47704
2025-12-20 09:10:26 | INFO     | sam_audio.model.base | Instantiating model modules for facebook/sam-audio-judge
2025-12-20 09:10:53 | INFO     | sam_audio.model.base | Loading checkpoint from /home/admin-grant-jr/.cache/huggingface/hub/models--facebook--sam-audio-judge/snapshots/ed54c31a70ea3ed88ed8a01d60107e71f7c47704/checkpoint.pt (5851.2 MB)
2025-12-20 09:11:53 | INFO     | sam_audio.model.base | Checkpoint loaded (62.0s)
2025-12-20 09:11:53 | INFO     | sam_audio.model.base | Applying state dict (strict=True)
2025-12-20 09:11:53 | INFO     | sam_audio.model.base | State dict applied (0.0s)
2025-12-20 09:11:53 | INFO     | sam_audio.processor | Downloading config.json for facebook/sam-audio-judge (revision=sam_audio)
2025-12-20 09:11:53 | INFO     | sam_audio.processor | config.json downloaded for facebook/sam-audio-judge to /home/admin-grant-jr/.cache/huggingface/hub/models--facebook--sam-audio-judge/snapshots/ed54c31a70ea3ed88ed8a01d60107e71f7c47704/config.json (0.1s)
2025-12-20 09:11:53 | INFO     | sam_audio.processor | Reading config.json from /home/admin-grant-jr/.cache/huggingface/hub/models--facebook--sam-audio-judge/snapshots/ed54c31a70ea3ed88ed8a01d60107e71f7c47704/config.json
